model,canonical_acc,success_acc,gen_items_per_sec,lean_items_per_sec
claude_sonnet_gate,1.0,1.000,,2.432103769760843
claude_sonnet_nohint_stop,0.03666666666666667,1.000,,2.4691358024691357
gpt4o_mini_gate,1.0,1.000,,2.223869532987398
gpt4o_mini_nohint_stop,0.0,1.000,,2.3923444976076556
llama31_8b_gate,1.0,1.000,,2.4580090126997134
mistral7b_gate,1.0,1.000,,2.4529844644317254
openchat35_gate,1.0,1.000,,2.4620434961017645
qwen25_3b_gate,1.0,1.000,,2.4630541871921183
qwen25_3b_gate_ng,1.0,1.000,,2.4681201151789387
qwen25_3b_gate_ng_t2,1.0,1.000,,2.4813895781637716
qwen25_3b_gate_ng_t2_hfix,1.0,1.000,,2.477291494632535
qwen25_3b_gate_ng_t8,1.0,1.000,,2.4865312888520514
qwen25_3b_nogate,0.3333333333333333,0.333,,1.8018018018018018
qwen25_7b_gate,1.0,1.000,,2.4896265560165975
qwen25_7b_gate_ng,1.0,1.000,,2.4539877300613497
qwen25_7b_gate_ng_canon,1.0,1.000,,2.4630541871921183
qwen25_7b_gate_ng_t2,1.0,1.000,,2.4752475247524752
qwen25_7b_gate_ng_t4,1.0,1.000,,2.4509803921568625
qwen25_7b_gate_ng_t8,1.0,1.000,,2.4660912453760786
qwen25_7b_gate_relaxed,1.0,1.000,,2.4640657084188913
gate_claude_sonnet_canon_only,,1.000,,2.44299674267101
gate_gpt4o_mini_canon_only,,1.000,,2.3771790808240887
gate_llama31_8b_canon_only,,1.000,,2.3837902264600714
gate_mistral7b_canon_only,,1.000,,2.443991853360489
gate_qwen25_7b_canon_only,,0.000,,0.0
